;Wavenumber;10.12.D;10.12.G;10.13.G;12.1.D;12.1.G;12.4.D;12.4.G;12.5.D;12.5.G
218;3782,0;99,985666;96,798355;99,768914;100,053857;96,918976;102,201345;97,27482;100,013985;98,817866
219;3781,0;100,017792;96,837338;99,753197;100,074762;96,949663;102,25468;97,295188;100,054141;98,866241
220;3780,0;100,005963;96,891997;99,753851;100,072494;96,97461;102,273797;97,302862;100,059229;98,920961
221;3779,0;99,949939;96,928307;99,764218;100,051224;96,969301;102,25189;97,287343;100,01655;98,953926
222;3778,0;99,888593;96,924766;99,772332;100,028463;96,932627;102,219566;97,264826;99,952475;98,954415
223;3777,0;99,859977;96,895615;99,771422;100,014382;96,889776;102,203774;97,259132;99,905482;98,929401
224;3776,0;99,862213;96,868876;99,764739;99,997077;96,865345;102,197742;97,271427;99,885691;98,887025
225;3775,0;99,86643;96,852677;99,760868;99,960429;96,860004;102,182271;97,27964;99,877339;98,831785
226;3774,0;99,855513;96,835439;99,764067;99,911179;96,858612;102,156026;97,268789;99,867993;98,773945
227;3773,0;99,837108;96,813623;99,771943;99,875502;96,853857;102,130272;97,248568;99,859467;98,732079
228;3772,0;99,826719;96,803722;99,78299;99,871158;96,854282;102,109972;97,235905;99,855991;98,720089
229;3771,0;99,829557;96,822114;99,801252;99,887855;96,87072;102,089916;97,232378;99,853789;98,735144
230;3770,0;99,845107;96,857787;99,830862;99,900508;96,900264;102,073382;97,231572;99,850432;98,763158
231;3769,0;99,880688;96,883057;99,867189;99,900244;96,92849;102,079253;97,239401;99,857406;98,795117
232;3768,0;99,940173;96,893936;99,896369;99,898355;96,946113;102,113197;97,267856;99,886285;98,829997
233;3767,0;99,997623;96,911996;99,904564;99,898935;96,950105;102,147372;97,305988;99,923587;98,862229
234;3766,0;100,014811;96,945365;99,889442;99,895983;96,936276;102,159882;97,319345;99,94368;98,879768
235;3765,0;99,987787;96,973474;99,863557;99,892805;96,906378;102,167636;97,289854;99,942255;98,87858
236;3764,0;99,955103;96,97167;99,844387;99,903047;96,876605;102,20185;97,244739;99,939026;98,870805
237;3763,0;99,951348;96,941847;99,841472;99,927691;96,869002;102,256084;97,228324;99,944932;98,870176
238;3762,0;99,968746;96,904842;99,852262;99,943419;96,887444;102,281912;97,248212;99,942289;98,873442
239;3761,0;99,975761;96,873519;99,866054;99,928023;96,909355;102,24928;97,272412;99,911444;98,868169
240;3760,0;99,956578;96,854658;99,873095;99,889358;96,916874;102,187384;97,27889;99,864771;98,856002
241;3759,0;99,916877;96,858648;99,874148;99,854425;96,922898;102,148991;97,281678;99,834284;98,855427
242;3758,0;99,866319;96,891009;99,8787;99,840842;96,952423;102,152502;97,301032;99,83549;98,877992
243;3757,0;99,803576;96,938841;99,891677;99,845069;97,006723;102,168686;97,333879;99,85498;98,916115
244;3756,0;99,721076;96,98036;99,906735;99,853475;97,066237;102,160032;97,369608;99,870776;98,95568
245;3755,0;99,617072;97,009766;99,911406;99,852222;97,115464;102,105555;97,402332;99,869403;98,98471
246;3754,0;99,51019;97,033582;99,893478;99,837587;97,146631;102,015504;97,422411;99,851188;98,994276
247;3753,0;99,446609;97,055218;99,849939;99,828688;97,157559;101,942;97,422553;99,836382;98,98624
248;3752,0;99,464165;97,075344;99,795638;99,85321;97,161447;101,942507;97,420749;99,853695;98,98002
249;3751,0;99,529639;97,09814;99,749574;99,899143;97,181974;102,00353;97,440075;99,901516;98,987355
250;3750,0;99,565902;97,115386;99,709874;99,916966;97,212676;102,049744;97,455403;99,943269;98,982647
251;3749,0;99,554971;97,104335;99,661804;99,894948;97,215517;102,045612;97,428741;99,960938;98,939035
252;3748,0;99,541696;97,062337;99,605497;99,872151;97,177684;102,016777;97,388233;99,971067;98,874081
253;3747,0;99,563827;97,013457;99,558469;99,8791;97,125282;102,001614;97,397896;99,990241;98,828152
254;3746,0;99,623732;96,982488;99,53083;99,911076;97,091215;102,023966;97,468485;100,014577;98,816479
255;3745,0;99,680933;96,975592;99,511756;99,924928;97,088437;102,06527;97,51679;100,018605;98,805183
